Subject	Haplotype	Locus	Contig	StartPos	EndPos	Length	GeneTypes	NumV	NumProdV	FracProdV	RelStart	RelEnd	GoodToUse	Comment
mDasNov1	primary	IGL	SUPER_19	39620103	45256370	5636267	"J,V"	204	80	0.392156863	0.492984827	0.563115743	TRUE	
mDasNov1	alternate	IGL	SUPER_19	41238935	47059792	5820857	"J,V"	210	86	0.40952381	0.48358397	0.551841628	TRUE	
mDicBic1	primary	IGL	SUPER_35	25451234	26961498	1510264	"J,V"	86	45	0.523255814	0.731167763	0.774554906	TRUE	manually selected
mDicBic1	alternate	IGL	scaffold_33	25465682	27154872	1689190	"J,V"	95	47	0.494736842	0.716583435	0.764115858	TRUE	manually selected
mEleMax1	primary	IGL	SUPER_22	21970357	22292057	321700	V	9	3	0.333333333	0.26800765	0.271931941	TRUE	
mEptNil1	alternate	IGL	atg000414l_1	794054	1200418	406364	V	80	67	0.8375	0.626716843	0.947444606	TRUE	
mEptNil1	primary	IGL	SUPER_22	26760445	27532747	772302	"J,V"	143	128	0.895104895	0.910121271	0.93638722	TRUE	
mEriEur2	primary	IGL	SUPER_6	21682343	22842809	1160466	V	86	67	0.779069767	0.278415054	0.293316175	TRUE	
mHetBru1	primary	IGL	SUPER_21	35373039	35508117	135078	V	6	2	0.333333333	0.416941424	0.418533586	TRUE	
mHipAmp2	primary	IGL	JASFZM010000007.1	2549855	2946800	396945	V	31	24	0.774193548	0.018042407	0.020851133	TRUE	
mHipAmp2	alternate	IGL	NC_080193.1	2549855	2946800	396945	V	31	24	0.774193548	0.017300752	0.019994021	TRUE	
mLemCat1	alternate	IGL	h2tg000046l	3279426	4481258	1201832	"J,V"	141	124	0.879432624	0.168066251	0.229658554	TRUE	
mLemCat1	primary	IGL	SUPER_21	9574194	10785359	1211165	"J,V"	141	124	0.879432624	0.276802298	0.31181864	TRUE	
mLutLut1	primary	IGL	HiC_scaffold_7_arrow_ctg1	66985620	70417688	3432068	V	130	56	0.430769231	0.694542066	0.730127548	TRUE	manually selected: long
mLynCan4	primary	IGL	Super_Scaffold_6	73145900	74039384	893484	"J,V"	75	50	0.666666667	0.781922871	0.791474132	TRUE	
mLynRuf1	primary	IGL	NW_025814839.1	14581171	15758467	1177296	"J,V"	108	71	0.657407407	0.648495039	0.700855073	TRUE	
mMacEug1	primary	IGL	SUPER_4	2580768	7821268	5240500	"J,V"	115	70	0.608695652	0.005397162	0.016356625	TRUE	manually merged
mManPen7	primary	IGL	SUPER_14	5764448	6091305	326857	V	26	22	0.846153846	0.06291627	0.066483762	TRUE	
mManPen7	alternate	IGL	scaffold_14	5742107	6068964	326857	V	26	22	0.846153846	0.062888782	0.066468589	TRUE	
mMarMar1	primary	IGL	SUPER_13	65609038	68022544	2413506	V	105	54	0.514285714	0.700516536	0.726285865	TRUE	
mMelMel3	primary	IGL	CAKLPQ010000013.1	27005770	28808335	1802565	V	79	42	0.53164557	0.338220735	0.360796091	TRUE	
mMelMel3	alternate	IGL	SUPER_12	27515017	29314782	1799765	V	79	43	0.544303798	0.285325925	0.303989174	TRUE	
mMicCal1	primary	IGL	JAQJZF010000004.1	51167178	51391713	224535	V	11	3	0.272727273	0.41369824	0.415513657	TRUE	
mMicCal1	alternate	IGL	JAQJZG010000003.1	72312269	72820464	508195	V	18	8	0.444444444	0.589352752	0.593494596	TRUE	
mMirAng1	primary	IGL	JARDRN010000014.1	91175872	95436603	4260731	V	114	60	0.52631579	0.955090088	0.999722312	TRUE	"manually selected: main, but likely broken at the end"
mMirAng1	alternate	IGL	JARDRO010000015.1	66886080	68903949	2017869	V	61	40	0.655737705	0.715623826	0.737213297	TRUE	"manually selected: main, but likely broken at the end"
mMirAng1	alternate	IGL	JARDRO010000023.1	132514	1389641	1257127	V	20	7	0.35	0.094199823	0.987849862	TRUE	"manually selected: main, but likely broken at the end"
mMonDom1	primary	IGL	SUPER_3	9312095	11516480	2204385	V	69	66	0.956521739	0.017299003	0.021394071	TRUE	manually merged
mMusAve1	primary	IGL	SUPER_21	23148358	23518309	369951	V	48	42	0.875	0.882996867	0.897108692	TRUE	
mMusErm1	primary	IGL	Super_Scaffold_2	65614372	67939550	2325178	"J,V"	84	41	0.488095238	0.706295587	0.7313246	TRUE	
mMusLut2	primary	IGL	SUPER_11	65737476	67718723	1981247	"J,V"	72	42	0.583333333	0.62877207	0.647722489	TRUE	
mMusNiv1	primary	IGL	scaffold_12	65543116	67467366	1924250	V	70	41	0.585714286	0.667291696	0.686882404	TRUE	
mMusNiv1	alternate	IGL	scaffold_14	25175034	27115784	1940750	V	69	42	0.608695652	0.272109111	0.293086074	TRUE	
mMyoDau2	primary	IGL	SUPER_19	26975387	27478487	503100	"J,V"	109	98	0.899082569	0.908282128	0.925221894	TRUE	
mMyoYum1.0	primary	IGL	JAPQVT010000019.1	26013283	26610927	597644	"J,V"	125	119	0.952	0.905606368	0.926412285	TRUE	
mMyoYum1.0	alternate	IGL	JAPQVU010000021.1	26072531	26645076	572545	"J,V"	119	112	0.941176471	0.904658337	0.924524364	TRUE	
mNeoNeb1	primary	IGL	SUPER_11	74515550	75748322	1232772	"J,V"	104	64	0.615384615	0.77881498	0.791699557	TRUE	
mNycCou1	primary	IGL	SUPER_4	131577676	137456116	5878440	"J,V"	113	88	0.778761062	0.885813756	0.925388881	TRUE	manually merged
mOrcOrc1	primary	IGL	SUPER_15	64950359	65302743	352384	V	40	28	0.7	0.724967057	0.728900319	TRUE	
mPerMan1	primary	IGL	JAOPKW010000054.1	4591381	6258729	1667348	"J,V"	29	18	0.620689655	0.367821075	0.501394336	TRUE	manually merged
mPleAur1	primary	IGL	SUPER_13	28743226	29482428	739202	"J,V"	165	147	0.890909091	0.894841132	0.917854149	TRUE	
mPumCon1	primary	IGL	CM060215.1	20012027	21241374	1229347	"J,V"	116	81	0.698275862	0.210825178	0.223776255	TRUE	
mPumCon1	alternate	IGL	CM060235.1	20007750	21128746	1120996	"J,V"	103	73	0.708737864	0.21049607	0.222289763	TRUE	
mSorAra2	alternate	IGL	atg000252l_1	0	2164177	2164177	"J,V"	164	123	0.75	0	0.953486108	TRUE	manually selected: main likely broken at the end
mSorAra2	primary	IGL	SUPER_9	19576622	23084985	3508363	"J,V"	247	186	0.753036437	0.282907559	0.333607951	TRUE	
mZalCal1	primary	IGL	SUPER_14	25031096	25502508	471412	V	19	13	0.684210526	0.265565843	0.270567259	TRUE	manually selected: main
